Stock Price,Total Debt,Cash,Revenues: Last yr,Invested Capital,Reinvestment Rate,ROE,ROC,Net Margin,Invested Capital,BV of Assets,Net Income,EBIT,EBITDA,FCFF,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,Trailing Revenues,Trailing Net Income,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital
16.25,0,1.3,,1.49,,0.08,,,17,200.4,1.5,,,,0.05,,0.01,0,0,0,1.9,0.01,0.03,0,0,0
5.74,16.1,0.3,69.4,3.27,0.04,-0.13,0.11,-0.01,23,43.4,-0.9,2.44,3.74,2.36,0,0,0.01,0.5,1.3,80.2,-0.4,0.27,0.22,0.27,0.21,0.69
28.54,462.1,3.4,542,2.4,0.16,0.21,0.17,0.14,829.2,993.2,78.3,173.01,223.71,116.68,0,0.01,0,75.9,50.7,558.9,78.3,0.01,0.95,0.3,0.23,0.56
28.8,7.3,11.1,436.8,2.99,0.5,0.13,0.23,0.03,94.7,159.4,12.6,38.26,53.16,10.85,0.04,0.02,0.07,25.2,14.9,450.3,14.5,0.12,0.36,0.03,0.02,0.07
63.8,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
19.14,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
13.5,0,0,,,,,,,0,0,0,,,,,0,,0,0,72.5,2.8,,,,,
10.89,0,668.2,31,0.97,0.06,-0.09,-0.68,-2.49,152.9,869.2,-77.1,-104.54,-92.74,-98.74,0.82,21.55,0.77,6,11.8,31,-77.1,0,0.04,0,0,0
0.15,0.2,10.8,20.9,,0.51,0.13,-0.7,0.1,5,19,2.1,-3.5,-0.8,-1.7,4,0.52,0.57,0.9,2.7,20.9,2.1,0,0.06,0.08,0.07,0.01
0,2.2,0.1,,3.98,,-1.65,,,4.1,5.5,-3.3,,,,0.01,,0.02,0,0,0,-0.6,0,0,0.15,0.13,0.52
10.57,534.2,968.8,8839.8,0.94,-0.55,0.04,0.16,0.01,2054.2,4939.8,96.5,319.12,526.82,494.9,0.33,0.11,0.2,40.9,207.7,8678.5,96.5,0.2,0.12,0.23,0.18,0.18
64.8,400,748.5,377.5,77.31,0.32,0.11,0.34,0.14,128.9,1107.3,52.8,52.43,62.13,29.73,0.07,1.52,0.68,36,9.7,493,52.8,0.14,0.04,0.04,0.04,0.46
5.93,196.8,240.2,11.5,1.94,-0.15,-0.6,-0.69,-8.47,119.7,435.1,-97.4,-82.13,-65.33,-94.42,0.51,31.19,0.55,5.1,16.8,7.7,-110.6,0,0.37,0.71,0.42,0.55
0.13,2.1,0,0.3,,0.06,,1.81,-8.33,-1,0.7,-2.5,-1.81,-1.71,-1.71,0,0,0,0,0.1,0.3,-2.4,0,0.14,0.64,0.39,
0.08,3.1,0,22.3,0.79,0.41,-1.55,-0.4,-0.15,5.3,9.2,-3.4,-2.14,-1.04,-1.26,0,0,0,0.1,1.1,20,-4.9,0.01,0.27,2.82,0.74,0.58
2.18,190.1,115.9,29.6,61.8,0.01,,-40.8,-5.56,3.5,185,-164.6,-142.81,-132.51,-142.02,0.35,5.04,0.63,4.6,10.3,23,-157.9,0.11,0.12,1.34,0.57,
0.56,0.1,8.7,2.6,,0.63,,1.85,-10.85,-15.3,13.9,-28.2,-28.24,-27.64,-10.58,0.47,0.68,0.63,0.2,0.6,12.8,-22.4,0.13,0.14,0.01,0.01,
1.9,105.3,28.2,1272,1.08,0.19,-3.36,-0.7,-0.09,111,353.2,-113.9,-77.59,-71.39,-62.95,0.19,0.03,0.08,5.1,6.2,1071.7,-68.6,0,0.03,2.44,0.71,0.76
2.1,0,2.2,,,,-0.19,,,-0.1,2.2,-0.4,,,,0.23,,1,0,0,0,-0.4,0,0,0,0,0
0.5,0,4.3,0.3,32.1,0.03,-0.79,-3.62,-14,1,5.5,-4.2,-3.62,-3.42,-3.52,0.12,14.33,0.78,0.1,0.2,0.3,-4.3,0.09,0.04,0,0,0
0.27,0,10.5,2.5,21.93,-0.33,-1.17,-9.58,-5.6,1.5,17.1,-14,-14.36,-14.16,-19.14,0.24,1.11,0.61,0.5,0.2,9.5,-10.1,0,0.04,0,0,0
0.42,1.1,0.1,2.4,15.27,0.56,-69,0.81,-2.88,1.1,2.5,-6.9,0.89,1.09,0.39,0.01,0.04,0.04,0.7,0.2,2.4,-3.6,0.16,0.12,0.07,0.07,0.92
17.95,133.8,33,302.2,0.92,0.12,0.07,0.1,0.05,354.4,546.8,15.6,42.34,58.34,30.37,0.09,0.11,0.06,20.3,16,301.2,15.6,0,0.55,0.59,0.37,0.36
17.24,4333,984,19785,1.29,0.01,0.14,0.14,0.09,16044,42555,1820,3122.07,3691.07,2208.11,0.05,0.05,0.02,469,569,18879,1820,0.34,0.04,0.25,0.2,0.25
26.28,47.5,84.1,1000.9,4.64,-0.16,0.16,0.2,0.04,234.7,527.9,44.3,74.57,84.57,54.69,0.07,0.06,0.16,25,10,1370.7,58.2,0.22,0.08,0.04,0.04,0.15
12.37,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
15.52,1619.1,132.8,882.4,3.1,-0.1,,0.33,0.02,1004.3,1446.7,19.6,372.11,580.01,369.84,0.04,0.15,0.09,175.6,207.9,902.8,23.7,0.34,0.43,0.99,0.5,
10.96,130.5,12,,1.42,,0.11,,,187.1,1009,7.6,,,,0.04,,0.01,0,0,0,7.7,0,0,0.89,0.47,0.66
25.16,63.1,63.6,,4.67,,0.18,,,90.2,1338.1,16.5,,,,0.13,,0.05,0,0,0,21.3,0,0,0.15,0.13,0.41
12.85,9029,164.6,8510.4,1.29,-0.15,0.19,0.09,0.02,9969.9,18162,205.7,1445.92,2028.02,997.87,0.01,0.02,0.01,530.2,582.1,9529.5,205.7,0.1,0.45,2.29,0.7,0.89
0.04,0,2.4,,,,-2.43,,,4.5,8.7,-16.8,,,,12,,0.28,0.3,3.9,0,-15.4,0.39,0.22,0,0,0
71.46,12968.1,880.4,12859.7,1.3,0.53,0.24,0.06,0.08,16368.5,20011.1,1011.4,1583.03,1641.33,475.86,0.04,0.07,0.04,43.3,58.3,13314.2,1011.4,0.01,0.01,1.42,0.59,0.75
3.48,0,62.2,71.2,,0.03,-0.78,5.66,-0.61,-6.9,81.9,-43.1,-39.03,-34.03,-38.05,0.44,0.86,0.76,4.2,5,72.2,-29.5,0,0.08,0,0,0
2,2,25.1,38.1,,0.08,-0.78,1.01,-0.29,-8.9,37.2,-11.1,-8.95,-7.35,-8.22,0.44,0.64,0.67,1.2,1.6,39.2,-1.4,0,0.04,0.04,0.04,0.12
27.95,146.3,6.2,,1.03,,0.07,,,178.3,521.1,2.5,,,,0.03,,0.01,0,0,0,0,0,0,3.35,0.77,0.79
24.74,0,54.4,,8.36,,0.13,,,35.2,1037.8,11.6,,,,0.16,,0.05,0,0,0,12.8,0,0,0,0,0
42.46,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
40.14,44.6,10.5,580.7,5.53,0.67,0.18,0.17,0.04,154.4,291.7,21.8,31.82,35.22,8.56,0.01,0.02,0.04,5.4,3.4,693.3,17,0.18,0.06,0.05,0.05,0.27
57.9,19.4,168.1,182.3,8.98,-0.92,0.05,0.27,0.09,162.4,444.6,16,68.09,117.49,84.17,0.1,0.54,0.38,10.8,49.4,313.6,25,0.19,0.07,0.01,0.01,0.06
7.84,7.4,32.7,,,,-0.09,,,-5.8,171,-1.7,,,,1.28,,0.19,0,0,0,-1.2,0.01,0.02,0.41,0.29,0.28
1.78,83.8,2.1,386.6,0.67,-2.7,-0.26,-0.04,-0.06,169.3,237.3,-22.8,-6.61,10.39,-24.46,0.02,0.01,0.01,36.7,17,368.7,0,0.02,0.57,2.71,0.73,0.49
45.94,323.1,28.8,1380.6,1.51,-0.01,0.1,0.09,0.04,847.5,1056.3,53.8,119.7,139.3,77.48,0.02,0.02,0.03,18.7,19.6,1380.7,53.8,0.35,0.1,0.33,0.25,0.37
12.82,5.2,9.2,,8.07,,0.08,,,11.9,254.1,1.2,,,,0.09,,0.04,0,0,0,0,0,0,0.05,0.05,0.25
35.96,587.4,31.9,,1.48,,0.07,,,1123.4,4651.9,37.4,,,,0.02,,0.01,0,0,0,66.2,0.07,0,0.53,0.35,0.51
13.69,284.2,27.6,712.8,1.11,-0.34,0.05,0.07,0.03,691.6,921.4,20,81.19,113.79,66.59,0.03,0.04,0.03,15,32.6,701.4,20,0.35,0.41,0.55,0.36,0.4
27.62,31,9.7,,1.6,,0.14,,,52.7,379.3,4.4,,,,0.1,,0.03,0,0,0,4.8,0,0,0.49,0.33,0.5
15,8.5,17.5,,3.77,,0.13,,,20.6,368.1,3.7,,,,0.18,,0.05,0,0,0,5.3,0,0,0.1,0.09,0.22
26.43,28.4,16.6,,1.17,,0.05,,,52.9,546.4,2.2,,,,0.21,,0.03,0,0,0,4.8,0.01,0,0.56,0.36,0.41
0.09,8.8,0,2.4,0.82,-0.11,-0.62,-0.1,-2.67,19.2,21.5,-6.4,-1.89,-1.69,-2.1,0,0,0,0.5,0.2,2.5,-7.4,0,0.44,1.26,0.56,0.46
26.21,524.1,44.2,1060.7,1.55,-0.25,0.15,0.15,0.06,862.7,1330.9,58.8,201.75,252.05,162.83,0.03,0.04,0.03,15.2,50.3,1130.1,52.6,0.14,0.61,0.61,0.38,0.58
29.27,280.6,36.2,,1.16,,0.08,,,349.2,1833.7,8.9,,,,0.08,,0.02,0,0,0,7.6,0,0,1.76,0.64,0.73
8.6,20.5,8.4,35.8,2.77,0.16,0.12,0.16,0.13,52.5,71.2,4.7,9.78,12.78,7.09,0.05,0.23,0.12,4.5,3,36.9,4.1,0.15,0.68,0.15,0.13,0.34
33.17,3011.6,167.2,2407.4,1.15,-0.15,0.1,0.12,0.14,6262.2,7797,337.2,1254.98,1755.88,889.15,0.02,0.07,0.02,385.3,500.9,2411.8,337.2,0.44,0.43,0.69,0.41,0.47
13.11,769.8,0.8,1742.9,1.8,-0.2,-0.16,0.16,-0.01,826.4,1174.7,-9.4,135.77,193.37,163.28,0,0,0,27.4,57.6,1783.8,-106.8,0.29,0.31,1.07,0.52,0.93
64.74,1289.5,574.2,1015.4,2.88,0.3,0.13,0.09,0.1,1545.3,2440.2,104.8,281.98,334.78,94.66,0.11,0.51,0.24,50.2,52.8,1127,104.8,0.34,0.1,0.35,0.26,0.61
8.78,7.5,57.4,53,21.75,1.99,-0.21,-0.16,-0.26,15.7,120.3,-13.8,-2.57,1.43,2.53,0.14,0.71,0.48,4.3,4,80.5,-13.6,0.26,0.08,0.02,0.02,0.1
43.8,119.4,14.6,215.6,5.11,1.5,0.2,0.13,0.13,239.8,316.4,27.6,50.9,58.5,-16.08,0.01,0.05,0.05,26.6,7.6,299.4,28.6,0.04,0.51,0.11,0.1,0.47
3.89,0,26.3,54.8,2.9,1.42,0.03,0.08,0.03,25.9,73.1,1.6,2.01,3.21,-0.84,0.26,0.38,0.36,0.7,1.2,69.6,3.3,0,0.03,0,0,0
1.05,0.2,0.5,6.8,7,0.09,0.45,0.71,0.15,1.9,3.2,1,1.36,1.66,1.24,0.04,0.07,0.16,0.4,0.3,6.9,0.7,0,0.25,0.01,0.01,0.08
1.27,0,16.2,,,,-0.67,,,-13.5,19,-1.8,,,,8.53,1.69,0.85,0,0,9.6,-3.5,0,0,0,0,0
5.17,10.8,22.6,,0.83,,0.09,,,193,766,19.1,,,,0.12,,0.03,0.9,0,0,15.5,0.02,0.01,0.06,0.06,0.05
24.83,175.7,220.7,1320.4,2.94,-0.37,0.04,0.16,0.04,1221.9,2110.9,52.9,210.47,335.17,266.91,0.06,0.15,0.1,32.9,124.7,1440.8,55.3,0.46,0.07,0.05,0.05,0.12
90.91,130.7,189.8,926.4,6.47,-0.32,0.11,0.23,0.07,538.4,982.3,64.9,205.57,296.37,163.11,0.05,0.2,0.19,44.2,90.8,970.2,64.9,0.08,0.23,0.04,0.04,0.18
40.51,274,41.8,1039.5,5.14,-0.01,0.35,0.27,0.1,532.3,922.2,105.9,227.13,274.53,145,0.02,0.04,0.05,40.9,47.4,1103.1,119.9,0.29,0.07,0.11,0.1,0.48
6.2,0,25.2,11.6,,0.09,-0.17,,-0.37,0,32,-4.3,-2.75,-1.95,-2.51,0.1,2.14,0.79,0.6,0.8,11.8,-5.2,0.05,0.04,0,0,0
0.02,11.6,0.4,78.5,0.43,-0.08,0.16,0.14,0.03,26.2,63.8,2.4,3.74,4.44,4.04,0.03,0,0.01,0.5,0.7,88.9,3,0.42,0.03,116,0.99,0.44
10.15,4.5,95.3,13.9,,1.94,-1.32,0.36,-2.04,-59.8,102.1,-28.3,-21.8,-19.6,20.5,0.43,4.37,0.93,0.6,2.2,21.8,-10.6,0,0.01,0.02,0.02,0.17
0.53,0.9,1,4,0.45,5.15,-0.1,-0.09,-0.1,4,5.5,-0.4,-0.37,-0.37,1.53,0.36,0.48,0.18,0,0,2.1,-0.3,0,0,0.47,0.32,0.18
6.26,0,59.6,38.5,1.37,0.15,0.02,0.1,0.05,42.9,119.2,2.1,5.74,8.24,3.66,0.5,1.57,0.5,3.1,2.5,37.9,2.1,0.34,0.04,0,0,0
15.2,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
14.05,21.3,4.6,82.6,1.62,0.08,0.12,0.15,0.05,49.2,72.4,4,10.46,15.06,6.61,0.05,0.05,0.06,3.9,4.6,89,4.4,0.05,0.4,0.34,0.25,0.4
14.3,0,38.1,,1.23,,-0.04,,,109.8,1314.7,-6.6,,,,0.22,,0.03,0,0,0,-1.4,0,0.01,0,0,0
9.35,489.8,200.6,3243.6,1.39,-0.32,0.09,0.12,0.06,2753.3,4316.5,210.8,525.46,715.66,451.81,0.05,0.05,0.05,54.6,190.2,3736,219.9,0.57,0.03,0.14,0.12,0.17
2.32,1,17.2,21.5,4.41,1.19,0.1,0.24,0.13,13.1,34.1,2.9,5.03,5.33,-0.6,0.23,0.38,0.5,1.2,0.3,44.9,3.1,0.26,0.04,0.01,0.01,0.03
45.89,331.9,119.1,791.5,1.25,0.49,0.08,0.09,0.05,748.3,1287,43.4,109.78,144.38,32.33,0.11,0.14,0.09,62.7,34.6,837.9,43.4,0.06,0.58,0.46,0.31,0.39
3.6,0,0.2,24.3,2.83,-0.29,0.14,0.13,0.07,12.8,15.8,1.8,1.7,2.1,2.2,0.01,0.01,0.01,0.4,0.4,23.1,0.9,0.05,0.08,0,0,0
0.14,7.4,0.1,7.4,0.22,6.13,0,0.01,0.01,45.7,41.3,0.1,0.86,0.96,-2.76,0.01,0.01,0,3.4,0.1,7.4,0.1,0,0.22,2.55,0.72,0.19
0.24,0,0.4,1.9,1.4,0.31,-1.89,-2.59,-0.89,0.5,1.2,-1.7,-1.29,-0.79,-0.89,0.36,0.31,0.33,0,0.5,1.3,-1.3,0.08,0.42,0,0,0
13.61,254.4,142.3,1150.2,5.46,-0.07,0.38,0.23,0.03,210.2,517,29,48.31,59.71,51.72,0.11,0.12,0.28,8.7,11.4,1188.4,29,0.24,0.17,0.25,0.2,0.77
4.4,10,1.7,124.4,1.01,0.37,0.02,0.06,0.01,49.9,64.2,0.8,5.72,10.12,2.02,0.03,0.01,0.03,5,4.4,127.2,1.1,0.09,0.32,0.24,0.19,0.19
0.75,13,0.4,20,1.17,0.57,1,0.09,0.04,13.3,27.1,0.7,1.53,2.03,0.54,0.03,0.02,0.01,0.2,0.5,21.9,0.5,0,0.08,4.48,0.82,0.95
6.46,14.6,2.7,218.4,1.1,0.25,0.09,0.21,0.03,88,137.3,7,18.28,29.68,13.78,0.03,0.01,0.02,15.9,11.4,217.4,5.6,0.04,0.63,0.17,0.15,0.16
4.96,8.9,5.5,100.1,1.07,0.07,0.08,0.16,0.03,46.3,78.9,3.5,7.54,12.34,7.01,0.1,0.04,0.07,3.3,4.8,124.6,1.5,0.21,0.24,0.19,0.16,0.17
5.08,31.8,9.6,78.5,2.98,0.43,0.16,0.33,0.11,76.9,123.7,8.5,46.9,65.1,14.59,0.04,0.09,0.08,33.3,18.2,102.9,17,0,0.82,0.15,0.13,0.37
0.19,4,0.5,0.3,,-0.05,,0.98,-10,-2.2,2.4,-3,-2.16,-2.16,-2.26,0.05,1.67,0.21,0.1,0,0.3,-2.9,0.04,0.04,0.73,0.42,
20.2,0,12.9,23.9,8.28,12.4,0.03,0.05,0.07,34.4,50.6,1.6,3.23,3.43,-18.71,0.04,0.32,0.25,0.2,0.2,40.5,5.4,0.01,0.01,0,0,0
42.36,686.9,207.8,766.9,1.84,0.06,0.06,0.07,0.12,1951.6,2626.8,95.6,206.6,252.9,123.51,0.05,0.21,0.08,45.3,46.3,971.2,95.6,0.64,0.14,0.22,0.18,0.32
20.83,0,33.7,603.8,3.15,0.39,0.06,0.23,0.02,133.4,329.1,10.8,49.87,82.97,18.87,0.07,0.06,0.1,45.3,33.1,603.8,10.2,0.09,0.57,0,0,0
13.15,225,325.9,2332.3,2.53,-0.08,0.09,0.21,0.03,593.6,1303.8,64.5,194.51,274.11,133.26,0.18,0.13,0.25,60.6,79.6,2537.5,64.5,0.18,0.25,0.14,0.12,0.24
1.22,19464,650,4977,1.33,-0.32,,0.13,-0.24,14518,17673,-1180,1926.1,3421.1,2537.16,0.03,0.13,0.04,924,1495,5188,-1029.1,0.56,0.36,45.02,0.98,
35.71,0,20.9,,3.19,,0.05,,,222.3,1050.6,11.4,,,,0.03,,0.02,0,0,0,11.4,0.01,0.01,0,0,0
7.62,1235.7,569.4,932.1,1.22,1.16,0,0.1,0.01,2171.9,3090,6.6,375.64,813.24,-35.64,0.18,0.69,0.18,686.3,437.6,823.3,-162.2,0.04,0.62,0.63,0.38,0.45
21.18,2927.5,4887,232.9,,-0.3,0.09,0.24,0.92,550.9,5757.4,214.4,132.05,162.45,171.43,1.21,17.21,0.85,0,30.4,283.9,126.7,0.07,0,2.66,0.73,0.55
14.45,11.6,0.8,91.4,1.34,0.13,0.13,0.14,0.06,49.6,63.9,5.2,10.74,12.94,5.89,0.01,0.01,0.01,3.1,2.2,91.4,5.2,0.15,0.29,0.21,0.17,0.23
36.39,200,40.2,258.2,3.33,-0.02,0.32,0.18,0.13,266.9,371.7,34.3,72.09,78.19,49.15,0.04,0.15,0.11,3.2,6.1,276.2,34.3,0.61,0.08,0.27,0.22,0.65
0.95,7.3,7.7,143.3,1.51,-0.62,-0.06,0.08,-0.01,21.2,44.3,-1.2,1.62,2.92,2.62,0.19,0.05,0.17,0.3,1.3,143.3,-1.2,0.07,0.08,0.22,0.18,0.25
27.31,321.3,58.1,722.4,2.59,0.56,0.22,0.21,0.13,677.4,1145.6,91.4,142.24,164.84,62.63,0.03,0.07,0.05,44.7,22.6,893.3,91.1,0,0.47,0.22,0.18,0.44
20.06,0,954.2,515.4,6.13,-0.1,0.15,0.33,0.48,676.6,1917.9,248.4,274.61,284.41,245.05,0.19,1.68,0.5,4.5,9.8,566.5,308.8,0.11,0,0,0,0
15.16,22.9,7.1,194.2,2.1,0.35,0.16,0.37,0.06,88.8,124,11.5,49.87,58.27,21.17,0.04,0.04,0.06,19.7,8.4,193.9,11,0.19,0.45,0.13,0.12,0.24
45.9,25.9,264,757.8,3.65,-0.9,0.04,0.14,0.06,1098.3,1569.9,46.8,243.1,419.7,301.07,0.06,0.35,0.17,33.9,176.6,757.8,46.8,0.53,0.06,0.01,0.01,0.02
24.65,72.7,102.7,778.7,2.63,-0.24,0.09,0.16,0.04,348.8,766.9,34.3,81.84,108.34,69.48,0.1,0.13,0.13,11.3,26.5,794.6,34.3,0.3,0.13,0.08,0.07,0.16
37.39,0,45.4,969.2,5.89,1.31,0.13,0.18,0.07,497.5,758.7,69.7,139.37,175.27,-28.67,0.02,0.04,0.06,161.9,35.9,1115.4,69.7,0,0.64,0,0,0
0.35,0.2,0,3.3,0.57,0,,-0.65,-1,4.6,1.4,-3.3,-2.99,-2.89,-2.98,0,0,0,0.1,0.1,3.4,0,0,0.14,0.08,0.08,
49.65,291.7,71.4,735.3,2.75,-0.08,0.06,0.1,0.03,552.4,825.6,19.2,90,108.3,60.92,0.04,0.08,0.09,18.3,18.3,840.2,19.2,0.62,0.07,0.22,0.18,0.47
31.76,161.8,106.6,,1.6,,0.12,,,540,3764.1,56.7,,,,0.11,,0.03,0,0,0,54.7,0.02,0,0.2,0.17,0.25
12.73,866.6,158.7,2549.8,3.62,-0.08,0.07,0.22,0.01,1036.9,2678.7,21.8,228.97,355.07,246.53,0.04,0.05,0.06,65.2,126.1,3382.6,21.8,0,0.27,0.28,0.22,0.72
30.9,113.5,21.5,,1.15,,0.11,,,174.2,722.5,8.7,,,,0.1,,0.03,0,0,0,7.8,0,0,1.04,0.51,0.58
37.23,0,308.4,2,,-0.03,-0.09,7.31,-13.55,-3.8,333.6,-27.1,-27.79,-26.49,-28.54,0.15,102.8,0.92,3.4,1.3,3,-41.3,0,0.06,0,0,0
34.39,0,11,38.9,27.33,-0.06,0.78,1.58,0.44,11,31.2,17.2,28.22,29.32,18.31,0.04,0.27,0.35,0.1,1.1,41.4,18.1,0.29,0,0,0,0
4.61,46.6,18.8,148.5,2.11,-0.18,0.47,0.35,0.07,49.9,99.8,10.4,21.87,25.07,20.31,0.15,0.15,0.19,4.9,3.2,126.1,1.1,0.06,0.15,0.6,0.38,0.68
17.04,428.9,54.3,1031.7,0.65,-0.24,0.02,0.09,0.01,1086.4,1554.9,11.3,101.52,162.62,126.32,0.07,0.05,0.03,35.5,61.1,1059.3,11.3,0.45,0.27,1.28,0.56,0.38
31.7,3075.1,6.9,2668.4,2.06,0.6,0.16,0.16,0.19,6722,8244.5,511,1671.22,2282.52,430.23,0,0,0,1426.1,611.3,3782,592.8,0,0.9,0.29,0.22,0.49
19,21.9,11.1,,0.9,,0.13,,,37.6,363.5,3.5,,,,0.25,,0.03,0,0,0,0,0,0,0.96,0.49,0.45
30.73,73.8,1.6,178,1.68,0.48,0.12,0.14,0.05,150.2,241.9,9.6,34.3,44.2,11.08,0.01,0.01,0.01,17.8,9.9,208.5,10,0,0.73,0.41,0.29,0.49
11.69,0,7.7,,1.54,,0.03,,,70.2,276.6,2.3,,,,0.07,,0.03,0,0,0,3.3,0,0.01,0,0,0
56.8,11033,10742,155300,2.8,0.08,0.29,0.38,0.09,45521,93208,13328,26478.65,31413.65,15841.83,0.08,0.06,0.12,6310,4935,187098,13328,0,0.48,0.09,0.08,0.2
25.18,84.7,236.4,1897.2,6.94,-0.06,0.14,0.26,0.03,317.5,1102.7,65.9,124.46,146.96,88.82,0.1,0.11,0.21,17.4,22.5,2066.3,83.3,0.24,0.11,0.04,0.03,0.15
367.49,0,2330.5,733.8,,-0.8,0.27,-0.18,0.3,-1517.9,2857.5,219.6,445.34,498.74,478.02,0.18,2.8,0.82,67.5,53.4,833.7,219.6,0,0.05,0,0,0
20,0,6.3,39.2,0.74,-0.17,0.06,0.14,0.04,18.5,29.3,1.5,3.99,5.79,3.08,0.32,0.16,0.22,1.3,1.8,39.4,-0.3,0,0.38,0,0,0
43.91,0,265.6,1066.9,26.57,0.38,0.25,0.54,0.13,295.3,715.7,141.2,256.91,289.41,98.59,0.03,0.2,0.37,93.1,32.5,1314.5,141.2,0.13,0.35,0,0,0
0.28,0,0,,,,,,,0,0,0,,,,,0,,0,0,1.4,-7.4,,,,,
49.42,37.3,165.2,1157.5,6.73,0.36,0.15,0.42,0.04,183.8,627.4,46.1,126.98,178.78,49.92,0.12,0.1,0.26,61.5,51.8,1591.2,46.1,0,0.35,0.03,0.03,0.11
6.8,27.4,11.2,58.2,3.47,1.35,0.21,0.25,0.12,48.3,105.5,6.9,12.83,14.83,-4.31,0.06,0.19,0.11,17.8,2,59.6,4.6,0,0.34,0.18,0.15,0.46
0.01,0,13.9,16.5,,1.18,-0.03,0.01,-0.35,166.9,182.6,-5.7,1.93,9.53,-0.35,4.96,1.14,0.08,11.2,7.6,12.2,-8,0.81,0.07,0,0,0
0.02,0,0.1,1.1,,-0.53,,0.34,-0.27,-0.8,0.1,-0.3,-0.28,-0.28,-0.42,0.01,0.11,1,0,0,0.9,-0.4,0,0,0,0,
15.61,0,0,,,,,,,0,0,0,,,,,0,,0,0,2542,0,,,,,
0.22,0.3,0.3,9.4,4.17,0.64,0.32,0.27,0.26,7.5,21.6,2.4,2.02,2.12,0.72,0.01,,0.01,3,0.1,0,0,0,0.17,0.01,0.01,0.04
0.1,0,0,,,,,,,-0.3,0,-0.2,,,,0,,,0,0,0,-0.2,,,0,0,
0.2,0.8,0.7,2.4,0.54,2.67,0.06,0.1,0.17,6.8,8.8,0.4,0.67,0.97,-1.13,0.16,,0.08,2,0.3,0,-0.4,0,0.66,0.22,0.18,0.11
35.28,0,0,,,,,,,0,0,0,,,,,,,0,0,0,1170.3,,,,,
31.78,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
3.66,0,0,,,,,,,0,0,0,,,,,0,,0,0,0.6,-2.3,,,,,
0.19,0.1,0.9,,1.95,,-0.09,,,12,12.9,-1.1,,,,0.04,,0.07,0,0,0,0,0,0,0,0,0.01
14.2,0,0,,,,,,,0,0,0,,,,,0,,0,0,2637.7,0,,,,,
13.5,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
0.02,0.3,0,,,,,,,-0.1,0,-3,,,,0,,,0,0,0,-0.6,,,0.18,0.15,
1.33,2.6,1.8,3.1,3.11,0.3,-0.55,-0.4,-2.29,13.7,24.1,-7.1,-5.42,-4.82,-3.78,0.04,0.3,0.07,0.7,0.6,6.1,-6.2,0.59,0.14,0.06,0.06,0.17
7.81,0,0,,,,,,,0,0,0,,,,,0,,0,0,724.5,46.8,,,,,
5.09,5.9,8.2,100.8,1.36,-2.09,-0.23,-0.15,-0.06,22.7,57.3,-5.7,-3.49,-1.49,-10.79,0.21,0.08,0.14,9.4,2,97.1,-7.9,0,0.31,0.18,0.15,0.19
19,0,2.4,,3.74,,0.1,,,3.5,77.1,0.6,,,,0.15,,0.03,0,0,0,0,0,0,0,0,0
20.01,349.5,142.8,3071.5,1.01,0.34,0.07,0.13,0.02,1045.5,1780,60,150.5,192.1,87.58,0.12,0.04,0.08,43.4,41.6,3673.5,170.8,0.24,0.24,0.41,0.29,0.29
44.44,1096.3,603.6,1723.4,2.88,0.05,0.05,0.08,0.07,3094.4,4296.2,127.1,342.78,528.68,245.4,0.06,0.34,0.14,183.7,185.9,1790.1,127.1,0.31,0.19,0.13,0.12,0.3
27.8,177.8,136.5,,2.06,,0.12,,,661.6,6070.2,75.1,,,,0.09,,0.02,0,0,0,81.6,0.04,0,0.13,0.12,0.22
41.73,328.7,27.6,428.8,30.89,-0.08,,0.89,0.17,98,262.4,74.8,134.94,144.84,94.53,0.01,0.06,0.11,6.9,9.9,462.6,86.8,0.35,0.18,0.12,0.11,
44.5,50.1,1.6,918.7,3.8,-0.16,0.15,0.18,0.16,1032.2,1287.5,148,303.08,364.38,217.15,0,0,0,28.3,61.3,995.4,151.7,0.71,0.05,0.01,0.01,0.05
9.92,0,23.9,52.9,2.67,0.2,0.06,0.14,0.08,42.7,74.1,4.1,9.07,12.27,4.89,0.17,0.4,0.32,3.1,3.2,60.2,6.7,0,0.11,0,0,0
2.62,0.3,38.5,83.7,5.94,0.15,-0.3,-0.48,-0.23,27.4,107.3,-19.5,-13.12,-10.42,-11.12,0.19,0.46,0.36,0.7,2.7,83.7,-19.5,0.35,0.02,0,0,0
21.5,10,3.8,,1.59,,0.07,,,20.6,147.7,1,,,,0.1,,0.03,0,0,0,0,0,0,0.38,0.27,0.41
18.77,0,60.8,438.9,5.77,0.45,0.17,0.35,0.06,102.4,229.2,27,59.08,75.28,19.92,0.09,0.13,0.27,30.5,16.2,483.3,27,0.02,0.49,0,0,0
