Stock Price,Total Debt,Cash,Revenues: Last yr,Invested Capital,Reinvestment Rate,ROE,ROC,Net Margin,Invested Capital,BV of Assets,Net Income,EBIT,EBITDA,FCFF,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,Trailing Revenues,Trailing Net Income,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital
28.94,0,165.5,150,7.34,-2.47,-0.06,0.09,-0.11,100.2,354.6,-16.2,8.85,30.75,30.69,0.18,1,0.47,3.7,21.9,164.8,9.6,0.32,0.05,0,0,0
3.28,0,13,,,,-0.54,,,-0.6,13.6,-6.7,,,,0.06,130,0.96,0.3,0,0.1,-12,0,0.02,0,0,0
47.67,0,30.9,141.6,7.73,0.1,0.16,0.2,0.16,114.4,245.1,23.3,38.97,40.77,20.51,0.03,0.22,0.13,4.1,1.8,141.6,23.3,0,0.04,0,0,0
28.24,125.2,30.3,1245.8,4.22,0.51,0.37,0.33,0.04,236.7,427.4,52.4,122.34,159.94,38.89,0.03,0.02,0.07,71,37.6,1385.6,52.4,0.05,0.42,0.14,0.12,0.47
5.27,47.1,5.8,202.8,8.73,-0.04,,1.97,0.02,8.3,72.4,4.4,17.24,21.94,17.04,0.07,0.03,0.08,4,4.7,202.9,0,0,0.51,1.51,0.6,
0.05,0.4,0.5,0.3,,-0.4,,1.66,-12.33,-2,0.7,-3.7,-3.32,-3.32,-4.66,0.1,5,0.71,0,0,0.1,-1.7,0,0,0.09,0.08,
5.3,92.4,65.7,1002.5,1.49,0.2,-0.53,-0.14,-0.05,129.7,455.3,-54.7,-18.25,-10.35,-14.57,0.25,0.06,0.14,4,7.9,1039,0,0.02,0.13,0.55,0.36,0.47
0.19,0.1,0.1,0.1,1.43,,-1.45,0,-64,4.4,5.6,-6.4,0,0.1,0,0.02,1,0.02,0.1,0.1,0.1,-6.4,0,0.04,0.02,0.02,0.02
0.04,18.6,0,94.3,6.92,0.91,,-0.84,-0.24,6.5,22.1,-22.2,-5.45,3.05,-0.47,0,0,0,2.5,8.5,64.2,-15,0,0.41,0.7,0.41,
16.32,3866.4,4725,,1.06,,0.11,,,23278.1,321973.7,2539.4,,,,0.16,,0.01,0,0,0,2539.4,0,0,0.15,0.13,0.14
4.09,0,8.8,16.1,2.39,0.11,-0.28,-0.54,-0.3,8.7,21.5,-4.9,-4.66,-4.36,-4.12,0.3,0.59,0.41,0.3,0.3,14.8,-3.8,0.01,0.06,0,0,0
0.95,0.8,7.4,0.3,,0,-3.13,10.7,-57.33,-1.1,7.9,-17.2,-11.77,-11.77,-11.77,0.54,24.67,0.94,0,0,0.3,-25.4,0,0,0.06,0.06,0.13
25,263.6,9.7,811,1.55,-0.58,-0.01,0.09,0,302.3,452.1,-0.4,68.77,99.67,43.6,0.02,0.01,0.02,15.2,30.9,807.6,-1.5,0.07,0.39,1.23,0.55,0.84
